"","Date","Observed","Historic"
"1",2001-10-01,0.231709840216576,0.212375055226317
"2",2001-10-02,0.248368597148731,0.228988560156369
"3",2001-10-03,0.255958854170536,0.241863878762633
"4",2001-10-04,0.262428888860198,0.250035462217277
"5",2001-10-05,0.266615124922498,0.253213436045218
"6",2001-10-06,0.269172564639425,0.254958535065671
"7",2001-10-07,0.27221535512124,0.257082605336877
"8",2001-10-08,0.275055068338905,0.259013117622235
"9",2001-10-09,0.277638303658443,0.260778926365866
"10",2001-10-10,0.280784981759996,0.263049662107775
"11",2001-10-11,0.283754320475724,0.265103270538024
"12",2001-10-12,0.287456093846808,0.267828868394933
"13",2001-10-13,0.293744004541639,0.272166397781117
"14",2001-10-14,0.298518656973351,0.277158621215932
"15",2001-10-15,0.303517586306324,0.282427069560291
"16",2001-10-16,0.308234049770494,0.28716266145744
"17",2001-10-17,0.312117527060939,0.290503921588579
"18",2001-10-18,0.316031496958772,0.294074834266685
"19",2001-10-19,0.320039106166003,0.29772790515689
"20",2001-10-20,0.32383563617667,0.30105437734125
"21",2001-10-21,0.326920219446242,0.3032000719917
"22",2001-10-22,0.329631164560511,0.304999818746998
"23",2001-10-23,0.332293681591169,0.306847740999521
"24",2001-10-24,0.335214602582782,0.309118546666256
"25",2001-10-25,0.33864565981195,0.312013411432941
"26",2001-10-26,0.342348737717481,0.31514163336974
"27",2001-10-27,0.345395682168023,0.317312467268653
"28",2001-10-28,0.34703720764235,0.318772526833351
"29",2001-10-29,0.348368440783907,0.319935979537502
"30",2001-10-30,0.348841229353788,0.320360893437613
"31",2001-10-31,0.349178953071327,0.320688264133739
"32",2001-11-01,0.350081896105173,0.32165066103797
"33",2001-11-02,0.351153667922156,0.322857684192897
"34",2001-11-03,0.352700426149999,0.324523439920953
"35",2001-11-04,0.354346666560154,0.32644437857247
"36",2001-11-05,0.356042067561726,0.328348066196381
"37",2001-11-06,0.35741924482443,0.329267916671282
"38",2001-11-07,0.358102260825438,0.330062658853956
"39",2001-11-08,0.358946411189236,0.331043258977796
